Date,Location,LAI,STD. DEV.,Sample Number,B1,B2,B3,B4,B5,NDVI,NDRE,CIGR,CIRE,MTCI,RDVI,Height,Date of imagery,CP
20200513,1,0.714636568,0.207807141,1,1520.176091,3618.29226,1407.100905,7301.778807,15504.69916,0.832864166,0.358755541,3.292726257,1.124412193,1.391172723,108.2921385,0.007813552,20200511,1
20200513,2,0.442543272,0.09748769,2,1807.639348,4051.333928,1915.136958,7950.052557,15100.70513,0.773552783,0.309150271,2.740409387,0.901638808,1.184125177,100.9505537,0.008444161,20200511,1
20200513,3,0.629566944,0.154727206,3,1776.521024,3849.650993,1823.891989,7749.973667,16525.82533,0.798348424,0.35979852,3.301669301,1.131276863,1.482885811,108.1996194,0.004846573,20200511,1
20200513,1,0.858885294,0.205257293,4,1652.175656,4113.472321,1758.919939,8094.97325,18150.60455,0.823000671,0.383001665,3.424800935,1.245517424,1.589971584,116.118661,0.006453415,20200511,2
20200513,2,0.725399669,0.20838507,5,1556.65709,3945.742526,1609.761903,7819.374464,14921.16376,0.804014658,0.311102575,2.79400639,0.908849148,1.143874351,103.3640623,0.008565549,20200511,2
20200513,3,0.675385289,0.154309698,6,1466.166726,3671.951252,1500.985616,7241.861909,14732.28062,0.813330414,0.339545636,3.022124205,1.034974289,1.303445038,103.6495883,0.007887704,20200511,2
20200513,1,0.581071264,0.134859509,7,1802.554187,4117.132939,1778.797522,7905.305023,17347.00884,0.813687905,0.373848312,3.220939781,1.197104397,1.544868807,112.5301542,0.013715956,20200511,3
20200513,2,0.55862471,0.165465343,8,1843.65678,4166.984299,1964.39095,7754.627582,16555.26722,0.787277127,0.361795496,2.975607495,1.136745759,1.523399855,107.1529784,0.00603033,20200511,3
20200513,3,0.457918809,0.128061331,9,1869.175035,4091.101765,2150.390989,7712.230484,16141.18436,0.762153031,0.351624021,2.961490713,1.092135338,1.520407926,103.200201,0.009188243,20200511,3
20200513,1,0.418511632,0.119630649,10,1958.961733,4219.820071,2160.061132,8241.152647,17938.85337,0.782469592,0.36830358,3.276479035,1.180540686,1.596249689,111.0104681,0.015210724,20200511,4
20200513,2,0.437802901,0.119579173,11,1891.899309,3963.998219,2230.416062,7963.523568,16961.85926,0.765853872,0.35931624,3.29597912,1.130781549,1.569110849,106.1512649,0.015664462,20200511,4
20200513,3,0.684576102,0.250889982,12,1643.628008,3761.064427,1653.863588,7863.048903,18336.88427,0.833215156,0.398838736,3.897325603,1.333375553,1.686885484,117.8464878,0.014386858,20200511,4
20200527,1,8.16398477,1.429339555,1,3982.35283,7069.390817,2617.013671,11987.86087,27919.73281,0.829408667,0.399222014,2.962564415,1.333409875,1.716858899,144.7810849,0.397917912,20200531,1
20200527,2,3.27126592,0.71428481,2,3890.211591,7349.444701,2718.150043,12323.78756,24662.62081,0.800330571,0.332764523,2.382169715,1.010616345,1.292990684,132.4339312,0.26220177,20200531,1
20200527,3,7.018514777,0.956718191,3,4075.105838,6956.596044,2787.982378,11998.37384,26348.32779,0.808946822,0.374640243,2.807474602,1.202015922,1.566433881,137.9891176,0.334882736,20200531,1
20200527,1,8.339393243,0.922457555,4,4080.100844,7458.56533,2435.036733,12005.38276,27449.92308,0.837413921,0.391908103,2.692671561,1.292552582,1.621756489,144.6299862,0.357281652,20200531,2
20200527,2,6.428213449,0.864822127,5,4055.372384,7348.006628,2369.973803,12253.69785,28020.699,0.844468938,0.391989981,2.828546703,1.292864775,1.602391235,147.067442,0.290416859,20200531,2
20200527,3,7.424167058,1.30449135,6,4089.605987,6767.098306,2248.32512,11357.83109,27067.51107,0.846949857,0.408925862,3.012330609,1.387413425,1.730242918,144.896954,0.350245612,20200531,2
20200527,1,8.380561226,1.530720877,7,4491.774351,9428.85616,2739.695006,12567.82487,26783.4837,0.814620362,0.361511,1.852506774,1.136102352,1.452279712,139.8741,0.225530271,20200531,3
20200527,2,6.352131545,1.311140704,8,4371.375739,8662.046646,2614.921013,11777.5903,25586.18138,0.814702084,0.370084101,1.960238442,1.179490856,1.51647203,136.743215,0.169991952,20200531,3
20200527,3,6.504344797,1.599507579,9,4697.905628,8589.839158,2734.372549,11670.59345,25130.74377,0.804827363,0.366170494,1.935963825,1.159442029,1.524043348,134.1990734,0.185617174,20200531,3
20200527,1,4.222960931,0.856838278,10,4602.05118,7772.799665,2944.804594,11370.55376,23200.86347,0.774985415,0.342366701,1.991081378,1.045784225,1.411352569,125.209604,0.218544006,20200531,4
20200527,2,4.671663155,0.889857616,11,4089.987232,6867.900597,2630.841641,10577.69325,22868.32167,0.79426478,0.367981612,2.336903659,1.167790947,1.554329253,126.7196709,0.221526573,20200531,4
20200527,3,7.151118427,1.382699801,12,3779.973353,6387.197145,2485.535875,10416.04212,24042.33923,0.814228131,0.395631184,2.78220493,1.313011659,1.735058401,132.3971388,0.345779419,20200531,4
20200618,1,8.689672584,1.639902336,1,607.5773222,3011.469283,626.8247466,7650.845287,26265.94577,0.953417895,0.548857744,7.77229039,2.448726125,2.670068533,156.3168136,0.703400711,20200618,1
20200618,2,5.057740502,1.139102057,2,666.747594,3215.742088,734.0696781,7986.842388,23727.03826,0.939687486,0.495748388,6.455326659,1.995885131,2.200159795,146.9062704,0.444443012,20200618,1
