AGB,# stems,B1,B2,B3,B4,B5,mean_intensity,std_intensity,mean_height (m),perc25_height,median_height,perc75_height,std_height,var_height,skew_height,kurto_height,dens_q100,dens_q75,dens_q50,dens_q25,mean_zdiff_q100,mean_zdiff_q75,mean_zdiff_q50,mean_zdiff_q25
935.5605414,58,220.4601495,653.6074159,427.1149956,1481.344959,4056.46878,30.40268456,1.986259724,0.640040268,0.538,0.647,0.67,0.043311712,0.001875904,-0.361807497,-0.168265842,0.241610738,0.234899329,0.268456376,0.255033557,0.001685714,0.000647059,0.000820513,0.002702703
1299.525352,0,991.6439737,3081.516451,2399.322111,7043.22876,15170.18771,28.95238095,2.008344271,0.615875,0.6715,0.6245,0.6685,0.068266999,0.004660383,-0.503759584,-0.338159721,0.25,0.25,0.25,0.25,0.001707317,0.00104878,0.001317073,0.003853659
1119.949238,77,821.1427612,2655.462323,2239.571023,6535.891454,14798.68924,29.43939394,2.122240011,0.604045455,0.579,0.6095,0.663,0.081184028,0.006590846,-0.685497693,0.734664776,0.242424242,0.257575758,0.25,0.25,0.003096774,0.001545455,0.00146875,0.00665625
1272.267041,79,1259.241437,3677.366125,3049.416415,7822.550012,17690.18321,29.38636364,1.769470591,0.616416667,0.63125,0.6375,0.6745,0.092616924,0.008577895,-1.819851522,3.968948246,0.25,0.25,0.242424242,0.257575758,0.002,0.001125,0.001419355,0.010424242
1609.40115,71,1592.19169,4347.125621,3396.350208,8972.459045,19541.43541,30.125,1.606226396,0.703963235,0.49725,0.7105,0.737,0.045003825,0.002025344,-0.492013714,0.025143299,0.242647059,0.257352941,0.227941176,0.272058824,0.00221875,0.000735294,0.000933333,0.002805556
1305.740351,66,1054.083123,3690.766343,2539.299703,7900.999451,14360.99873,31.5862069,1.492908325,0.696765517,0.614,0.694,0.726,0.038854461,0.001509669,0.070819922,-0.48481372,0.248275862,0.24137931,0.255172414,0.255172414,0.0018,0.000911765,0.000611111,0.001888889
818.8521522,72,1179.34152,3822.507922,3023.807119,8243.590828,13918.59961,30.625,1.576190027,0.660796053,0.56625,0.6665,0.7165,0.074713518,0.00558211,-1.139604353,3.036216298,0.25,0.25,0.230263158,0.269736842,0.002135135,0.00127027,0.001294118,0.007575
1086.016987,91,908.8418538,2474.683456,2353.283714,5719.341418,12003.11504,29.94029851,1.875852817,0.367007463,0.5695,0.373,0.425,0.077533767,0.006011485,-0.576744347,1.325092992,0.246268657,0.246268657,0.253731343,0.253731343,0.00415625,0.00159375,0.001666667,0.008333333
1116.962172,92,961.655515,2326.209804,2703.512959,5316.571197,10659.70588,30.12587413,1.964250895,0.257993007,0.55825,0.27,0.3235,0.088551158,0.007841308,-0.076369317,-0.550213385,0.251748252,0.244755245,0.251748252,0.251748252,0.004428571,0.001441176,0.002342857,0.004457143
910.8828825,44,1040.333503,3297.035399,2428.298644,7250.666984,14675.81606,30.56375839,1.631576615,0.64585906,0.5735,0.645,0.679,0.043668676,0.001906953,-0.131011997,-0.177753298,0.248322148,0.248322148,0.248322148,0.255033557,0.001944444,0.000916667,0.000861111,0.002297297
