Date,Location,LAI,STD. DEV.,Sample Number,B1,B2,B3,B4,B5,NDVI,NDRE,CIGR,CIRE,MTCI,RDVI,Height,Date of imagery,CP
20200618,1,10.04592437,1.239484737,4,908.4621582,2912.532227,807.6779175,6934.306152,27657.04883,0.944032192,0.599800169,8.559423447,3.017411947,3.414123774,111.4871216,0.679315764,20200618,2
20200618,2,9.597981754,1.453247567,5,853.3118896,3052.421143,737.6913452,6821.416504,26402.51758,0.945734978,0.590489626,7.773036957,2.911005735,3.26957655,107.4668198,0.625009607,20200618,2
20200618,3,12.58907046,3.644077013,6,787.6854248,3072.887451,688.1536255,6677.166504,26105.5332,0.948610783,0.592145979,7.543649197,2.926536083,3.266491413,107.2006454,0.774495806,20200618,2
20200618,1,13.60318072,1.859967845,7,1020.254639,2830.779053,977.5630493,7048.682129,33585.625,0.943527341,0.653547943,10.92156506,3.79465723,4.410777569,131.6274719,0.461456299,20200618,3
20200618,2,8.137757955,1.321073373,8,895.744751,2644.565918,878.3446045,6489.761719,31794.62891,0.946634531,0.661453903,11.09733009,3.930335283,4.546968937,129.3461151,0.309991342,20200618,3
20200618,3,6.16329318,1.059867372,9,935.2989502,2634.186035,1299.348145,6577.711426,30373.50781,0.917897701,0.644021749,10.62369633,3.648103476,4.55716753,123.7051926,0.312153135,20200618,3
20200618,1,4.402245466,0.543621239,10,1138.757202,3559.717773,1045.851563,8571.945313,27062.14453,0.925252736,0.518369377,6.66784811,2.166850567,2.468500614,97.81051636,0.199210866,20200618,4
20200618,2,5.313998928,1.21830139,11,1040.223022,3164.958984,1033.897705,7692.713379,28101.82617,0.929029882,0.570844889,7.937624931,2.67380476,3.09073782,107.9403229,0.236940581,20200618,4
20200618,3,8.791388165,1.63869449,12,834.3314819,2731.962158,699.0257568,6535.826172,27604.43945,0.950767636,0.616546154,9.178992271,3.23404026,3.617847681,113.8416901,0.452707291,20200618,4
20200701,1,8.713373026,1.401714065,1,579.8397217,2260.614258,1511.94104,5213.092285,10854.72559,0.755788684,0.354737401,3.956527472,1.118511677,1.595141411,44.67374802,1.240473147,20200712,1
20200701,2,4.62443923,0.760035275,2,510.4440308,2227.142578,1470.173828,5023.845215,9992.582031,0.747473061,0.333464414,3.593761921,1.015173912,1.439599752,40.60305023,1.057694534,20200712,1
20200701,3,6.726738589,0.924567311,3,450.608429,1741.733276,1267.296875,3959.43457,8778.442383,0.747033596,0.379940361,4.141395092,1.242449045,1.836264968,42.74972534,1.27542199,20200712,1
20200701,1,8.253188022,0.715998782,4,1006.641418,3535.036133,2225.327881,8222.189453,16381.4873,0.763139307,0.332974523,3.719225883,1.010595679,1.387682676,51.95179367,0.6998426,20200712,2
20200701,2,8.203464833,1.327689419,5,758.1234131,2986.547607,1838.264526,7083.998047,14292.46582,0.773305416,0.338663906,3.872729778,1.037913322,1.407784462,49.27378845,0.875599828,20200712,2
20200701,3,8.186498637,1.070406544,6,907.6279907,3071.124268,1818.921265,7434.095215,15382.8252,0.789503038,0.363148898,4.147776604,1.215156674,1.694853187,53.40391922,0.841815291,20200712,2
20200701,1,9.897741914,1.107152644,7,1007.96167,3505.797607,1881.838989,7446.516602,16589.05664,0.794197321,0.381025821,3.799840212,1.240144014,1.673651934,58.85784531,0.225317546,20200712,3
20200701,2,6.671791387,0.932947632,8,962.7686157,3610.044922,2076.490967,7330.866211,15181.36426,0.758776546,0.34887141,3.219811201,1.078801632,1.508795381,52.33713913,0.083856936,20200712,3
20200701,3,5.524085207,0.982476017,9,779.5426636,2974.99707,1844.246826,6172.355957,12724.92285,0.746471465,0.347615182,3.323279619,1.077197671,1.538843274,47.6492157,0.244689669,20200712,3
20200701,1,3.96493034,0.751894012,10,636.4710083,2163.126465,1664.703613,4418.646484,9264.056641,0.693585575,0.352649331,3.339968443,1.096481323,1.772403955,41.16909409,0.589514051,20200712,4
20200701,2,5.050763325,0.671233524,11,508.5289307,1838.380615,1367.775146,3918.358887,8834.930664,0.731603146,0.386179656,3.894167662,1.273334146,1.969707251,43.48936081,0.656361716,20200712,4
20200701,3,7.413943625,1.08327312,12,562.2307129,2059.186035,1370.618774,4499.921387,10480.70215,0.767578661,0.399073482,4.166873932,1.34184885,1.941347122,48.69971466,1.028637519,20200712,4
