Date,Location,LAI,STD. DEV.,B1,B2,B3,B4,B5,Height,CIGR,CIRE,MTCI,NDRE,NDVI,RDVI
20200513,1,0.714636568,0.207807141,1385.718988,3272.802009,1350.26045,6756.648119,14477.88816,0.008921656,3.434413366,1.143610327,1.428259616,0.362877029,0.828274362,104.1977717
20200513,2,0.442543272,0.09748769,1746.474046,3730.377445,1889.13539,7386.83999,14244.04218,0.009035045,2.828752159,0.929107937,1.247928698,0.316298869,0.764462033,97.14254515
20200513,3,0.629566944,0.154727206,1686.413139,3557.527043,1796.717687,7362.356464,15821.00726,0.006310357,3.469845933,1.154171997,1.554644392,0.364553112,0.791517951,105.1592018
20200513,1,0.858885294,0.205257293,1556.314756,4023.889839,1734.371912,7822.528675,17799.13055,0.003543581,3.433890494,1.27697601,1.640312347,0.389205104,0.821934139,114.8716336
20200513,2,0.725399669,0.20838507,1423.057053,3642.846604,1556.822968,7068.592946,14302.99281,0.009320752,2.953986716,1.02810498,1.320234544,0.338261339,0.802137915,100.9991745
20200513,3,0.675385289,0.154309698,1309.898682,3372.339931,1443.689297,6628.755998,14435.83975,0.007866723,3.294668886,1.178421426,1.510027614,0.36970862,0.815718054,102.8285785
20200513,1,0.581071264,0.134859509,1772.855346,4236.45208,1802.004925,8263.570808,17290.25125,0.010814808,3.085605389,1.093350052,1.398756993,0.353110872,0.810748409,112.0317267
20200513,2,0.55862471,0.165465343,1868.816871,4422.432115,2030.068441,8373.700095,16798.12817,0.008228434,2.798933639,1.006100132,1.32870685,0.334416936,0.783709881,107.5565411
20200513,3,0.457918809,0.128061331,1924.112941,4309.3145,2234.237141,8203.119349,16292.91601,0.007175446,2.805716327,0.985622799,1.365480312,0.328637771,0.755121374,102.9430052
20200513,1,0.418511632,0.119630649,1990.515795,4400.811353,2211.697696,8659.666066,18073.26555,0.01404953,3.13870249,1.091776109,1.469210798,0.350331493,0.778450872,110.9836679
20200513,2,0.437802901,0.119579173,1961.138609,4160.459329,2294.351098,8354.164176,17011.66739,0.015167801,3.106612764,1.036614208,1.443682395,0.33996388,0.759483084,105.6293829
20200513,3,0.684576102,0.250889982,1682.466579,3915.497991,1686.123256,8252.319611,18427.14433,0.013461249,3.739706824,1.23512987,1.55503764,0.380583138,0.830270351,117.8180485
20200527,1,8.16398477,1.429339555,1103.048753,2978.689221,753.3122824,6726.344804,24039.60035,0.046467896,7.092791998,2.578939144,2.904260564,0.562025637,0.939156018,147.7478436
20200527,2,3.27126592,0.71428481,1142.024276,3233.049328,837.3850445,7247.014381,21667.5601,0.049406492,5.767137134,2.003833435,2.260823359,0.496977649,0.924707243,138.632645
